year,zip,average_score
2014,92672,96
2015,92672,91
2013,94013,98
2014,94013,98
2016,94013,96
2013,94014,94
2014,94014,89
2015,94014,80
2016,94014,97
2014,94066,100
2014,94101,79
2015,94101,100
2016,94101,77
2013,94102,91
2014,94102,89
2015,94102,91
2016,94102,89
2013,94103,91
2014,94103,91
2015,94103,90
2016,94103,88
2013,94104,92
2014,94104,91
2015,94104,95
2016,94104,86
2013,94105,94
2014,94105,93
2015,94105,90
2016,94105,89
2013,94107,92
2014,94107,94
2015,94107,94
2016,94107,95
2013,94108,88
2014,94108,89
2015,94108,91
2016,94108,89
2013,94109,90
2014,94109,90
2015,94109,88
2016,94109,87
2013,94110,92
2014,94110,93
2015,94110,92
2016,94110,91
2013,94111,93
2014,94111,94
2015,94111,96
2016,94111,92
2013,94112,94
2014,94112,93
2015,94112,92
2016,94112,88
2013,94114,91
2014,94114,91
2015,94114,90
2016,94114,94
2013,94115,92
2014,94115,91
2015,94115,89
2016,94115,90
2013,94116,89
2014,94116,90
2015,94116,91
2016,94116,90
2013,94117,90
2014,94117,92
2015,94117,89
2016,94117,92
2013,94118,94
2014,94118,93
2015,94118,92
2016,94118,86
2013,94120,83
2014,94120,98
2015,94120,96
2013,94121,94
2014,94121,92
2015,94121,91
2016,94121,86
2013,94122,87
2014,94122,88
2015,94122,88
2016,94122,89
2013,94123,91
2014,94123,91
2015,94123,90
2016,94123,89
2013,94124,91
2014,94124,93
2015,94124,92
2016,94124,93
2013,94127,92
2014,94127,90
2015,94127,89
2016,94127,91
2014,94129,83
2015,94129,94
2016,94129,71
2014,94130,100
2015,94130,94
2013,94131,95
2014,94131,94
2015,94131,93
2016,94131,89
2013,94132,95
2014,94132,95
2015,94132,95
2016,94132,91
2013,94133,87
2014,94133,87
2015,94133,88
2016,94133,87
2013,94134,93
2014,94134,91
2015,94134,92
2016,94134,87
2013,94140,98
2014,94140,96
2015,94140,96
2014,94143,89
2015,94143,93
2016,94143,91
2013,94158,94
2014,94158,99
2015,94158,93
2016,94158,98
2014,94545,100
2014,94609,87
2016,94609,100
2014,95105,100
2016,95105,98
